article,author,lab-size
"Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway",Dong-Mei Zhang,N/A
"Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway",Xiang-Jun Zeng,N/A
"Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway",Jing Mu,N/A
"Upregulation of cytochrome P450 2J3/11,12-epoxyeicosatrienoic acid inhibits apoptosis in neonatal rat cardiomyocytes by a caspase-dependent pathway",Hui Yang,50
Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby 脭脭six-mix艕艕 amphiboles and subsequent activation of BEAS-2B cells,Naomi K Fukagawa,50
Differential activation of the inflammasome in THP-1 cells exposed to chrysotile asbestos and Libby 脭脭six-mix艕艕 amphiboles and subsequent activation of BEAS-2B cells,Mickey E. Gunter,50
Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,C. Zhang,N/A
Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,L J Jin,50
Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,Koichi Matsuo,N/A
Porphyromonas gingivalis lipopolysaccharide regulates interleukin (IL)-17 and IL-23 expression via SIRT1 modulation in human periodontal ligament cells,Y. Yang,N/A
Increases in inflammatory mediators in DRG implicate in the pathogenesis of painful neuropathy in Type 2 diabetes,Munmun Chattopadhyay,N/A
The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,Bo Li,N/A
The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,Yue-Hua Yang,N/A
The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,Jiang-Wei Chen,N/A
The effect of transforming growth factor _1 on the crosstalk between autophagy and apoptosis in the annulus fibrosus cells under serum deprivation,Ke Chen,N/A
A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells,Jinglan Wang,13
A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells,Jeffrey Sklar,N/A
A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells,Gil Mor,50
Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate,Jeremy Allegood,50
Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate,Michael Maceyka,N/A
Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate,Graham M Strub,N/A
Regulation of Histone Acetylation in the Nucleus by Sphingosine-1-Phosphate,Kuzhuvelil B Harikumar,50
Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels,Sefik Evren Erdener,50
Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels,Yasemin Gursoy-Ozdemir,50
Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels,Sevda Lule,50
Spreading Depression Triggers Headache by Activating Neuronal Panx1 Channels,Emine Eren-Koçak,50
Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis,Masato Enari,N/A
Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis,Shigekazu Nagata,N/A
14-3-3__ is required to prevent mitotic catastrophe after DNA damage,Heiko Hermeking,50
14-3-3__ is required to prevent mitotic catastrophe after DNA damage,Christoph Lengauer,N/A
14-3-3__ is required to prevent mitotic catastrophe after DNA damage,Kenneth W Kinzler,N/A
14-3-3__ is required to prevent mitotic catastrophe after DNA damage,Bert Vogelstein,50
Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells,Michael Hsu,N/A
Imbalance between pSmad3 and Notch induces CDK inhibitors in old muscle stem cells,Irina M Conboy,N/A
"Essential roles of PI(3)K膼p110b in cell growth, metabolism and tumorigenesis",Zhenning Liu,N/A
Identification of the pollen self-incompatibility determinant in Papaver rhoeas,Barend H J de Graaf,N/A
Identification of the pollen self-incompatibility determinant in Papaver rhoeas,Natalie Hadjiosif,N/A
Identification of the pollen self-incompatibility determinant in Papaver rhoeas,Ruth Perry,N/A
Identification of the pollen self-incompatibility determinant in Papaver rhoeas,Natalie S Poulter,N/A
A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,Mahaut de Lichy,N/A
A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,Corine Bertolotto,N/A
A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,Sandy Giuliano,N/A
A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma,Thomas Strub,N/A
D14膼SCFD3-dependent degradation of D53 regulates strigolactone signalling,Qibing Lin,50
D14膼SCFD3-dependent degradation of D53 regulates strigolactone signalling,Lihong Zhu,N/A
D14膼SCFD3-dependent degradation of D53 regulates strigolactone signalling,Yulong Ren,50
D14膼SCFD3-dependent degradation of D53 regulates strigolactone signalling,Kunneng Zhou,N/A
Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin,Remya Raja,N/A
Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin,D Thorat,37
Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin,Gowrishankar Soundararajan,50
Osteopontin signaling upregulates cyclooxygenase-2 expression in tumor-associated macrophages leading to enhanced angiogenesis and melanoma growth via a9b1 integrin,Tushar V. Patil,N/A
The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,Akanksha Singh,50
The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,Monica Gireud,N/A
The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,Pete Taylor,N/A
The deubiquitylase USP37 links REST to the control of p27 stability and cell proliferation,Dean A. Lee,N/A
Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,Amanda Croft,50
Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,Hsin-Yi Tseng,50
Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,Su Tang Guo,N/A
Repression of microRNA-768-3p by MEK/ERK signalling contributes to enhanced mRNA translation in human melanoma,Lei Jin,50
"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer",X Liu,N/A
"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer",B Feng,N/A
"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer",Q Wu,N/A
"STIM1, a direct target of microRNA-185, promotes tumor metastasis and is associated with poor prognosis in colorectal cancer",N Liu,N/A
MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy,S-C Lin,N/A
MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy,P-S Lu,N/A
MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy,W-C Chang,N/A
MMP7-mediated cleavage of nucleolin at Asp255 induces MMP9 expression to promote tumor malignancy,C-Y Hung,N/A
Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Masahisa Ohtsuka,50
Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Mamoru Uemura,50
Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Naotsugu Haraguchi,N/A
Distinct expression of C4.4A in colorectal cancer detected by different antibodies,Hirofumi Yamamoto,N/A
Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,Yuehua Yang,N/A
Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,Shengdan Jiang,N/A
Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,Binbin Ni,N/A
Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration through downregulation of the PI3K/AKT pathway,Ke Chen,N/A
Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer,Ok Hee Woo,N/A
Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer,Eun Young Gil,N/A
Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer,Hoiseon Jeong,50
Promoter methylation of RASSF1A modulates the effect of the microtubule-targeting agent docetaxel in breast cancer,Young Mi Whang,N/A
Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats,Jun-ichi Okano,N/A
Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats,Takakazu Nagahara,N/A
Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats,Ryo Abe,N/A
Preventive effect of caffeine and curcumin on hepato_ carcinogenesis in diethylnitrosamine_induced rats,Ryu Imamoto,N/A
Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-1 expression via the activation of the MEK/ERK1/2 and PI3K/Akt signaling pathways,Yuan-Ching Chang,N/A
Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-1 expression via the activation of the MEK/ERK1/2 and PI3K/Akt signaling pathways,Michael S Lan,50
Leptin stimulates ovarian cancer cell growth and inhibits apoptosis by increasing cyclin D1 and Mcl-1 expression via the activation of the MEK/ERK1/2 and PI3K/Akt signaling pathways,Mary B Breslin,N/A
Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,Xiaoyuan Wang,N/A
Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,Wei Zheng,N/A
Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,Kedong Li,N/A
Genetic and epigenetic alterations are involved in the regulation of TPM1 in cholangiocarcinoma,Haofeng Liu,N/A
Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,Haofeng Liu,N/A
Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,Haofeng Liu,N/A
Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,Kedong Li,N/A
Functional analysis of Zyxin in cell migration and invasive potential of oral squamous cell carcinoma cells,Haofeng Liu,N/A
Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,Chiara Liverani,50
Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,Laura Mercatali,50
Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,Emanuele Sacanna,42
Cisplatin in combination with zoledronic acid: A synergistic effect in triple-negative breast cancer cell lines,Michele Zanoni,50
Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,Yueping Liu,50
Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,Cuizhi Geng,N/A
Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,Xiaowei Qi,50
Estrogen receptor _ inhibits estradiol-induced proliferation and migration of MCF-7 cells through regulation of mitofusin 2,Jun Jiang,N/A
A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas,Irina Nickeleit,N/A
A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas,Torsten Wuestefeld,50
A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas,Inga Sörensen,50
A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas,Daniel Dauch,N/A
Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,Luke McCaffrey,N/A
Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,JoAnne Montalbano,N/A
Loss of the Par3 Polarity Protein Promotes Breast Tumorigenesis and Metastasis,Constantina Mihai,N/A
CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis,Zibo Zhao,50
CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis,Mark B Meyer,50
CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis,Sandeep Saha,N/A
CARM1 Methylates Chromatin Remodeling Factor BAF155 to Enhance Tumor Progression and Metastasis,Menggang Yu,N/A
"Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling",Frederik De Smet,N/A
"Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling",Ulrich Schieborr,50
"Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling",Krishna Saxena,N/A
"Molecular Mechanism of SSR128129E, an Extracellularly Acting, Small-Molecule, Allosteric Inhibitor of FGF Receptor Signaling",Jarek Juraszek,N/A
Rab1A Is an mTORC1 Activator and a Colorectal Oncogene,Yan-Jie Zhang,N/A
Rab1A Is an mTORC1 Activator and a Colorectal Oncogene,Jun-Hung Cho,-7
Rab1A Is an mTORC1 Activator and a Colorectal Oncogene,Laura E. Morris,N/A
Rab1A Is an mTORC1 Activator and a Colorectal Oncogene,Yue-Hua Wei,N/A
Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability,Alex Chun,N/A
Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability,Terry D Cyr,50
Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability,King Ching Ho,N/A
Itch E3 ubiquitin ligase regulates large tumor suppressor 1 stability,Zhonghua Zhou,N/A
"Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability",Uta Wieland,N/A
"Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability",Hélène Rangone,N/A
"Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability",Xavier Pinson,N/A
"Drosophila Mgr, a Prefoldin subunit cooperating with von Hippel Lindau to regulate tubulin stability",Guojie Mao,N/A
The costimulatory immunogen LPS induces the B-Cell clones that infiltrate transplanted human kidneys,Rajesh K Grover,50
The costimulatory immunogen LPS induces the B-Cell clones that infiltrate transplanted human kidneys,Teresa M Jones,50
The costimulatory immunogen LPS induces the B-Cell clones that infiltrate transplanted human kidneys,Diana I Ruiz,37
The costimulatory immunogen LPS induces the B-Cell clones that infiltrate transplanted human kidneys,Yingjie Peng,N/A
Shox2 is a molecular determinant of depot-specific adipocyte function,Yuji Yamamoto,N/A
Shox2 is a molecular determinant of depot-specific adipocyte function,Jeremie Boucher,50
Shox2 is a molecular determinant of depot-specific adipocyte function,Jonathon N. Winnay,50
Shox2 is a molecular determinant of depot-specific adipocyte function,Stephane Gesta,N/A
LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1,Bryce G. Johnson,N/A
LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1,Yujiro Kida,N/A
LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1,Colin Ip,N/A
LRP-6 is a coreceptor for multiple fibrogenic signaling pathways in pericytes and myofibroblasts that are inhibited by DKK-1,Kathryn C. Davidson,50
Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility,Yanping Wu,N/A
Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility,Haifeng Wang,N/A
Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility,Yangqing Zhang,N/A
Interplay of mevalonate and Hippo pathways regulates RHAMM transcription via YAP to modulate breast cancer cell motility,Lin Mei,50
